    id  name                                    desc                                                                                                                                                                                                                                                           
------  --------------------------------------  -------------------------------------------------
     1  HEALTH_RECORD_NO                        城乡居民个人健康档案的编号                                                                                                                                                                                                                        
     2  IDENTITY_NO                             患者的身份证件上的唯一法定标识符                                                                                                                                                                                                               
     3  IDENTITY_TYPE                           患者身份证件所属类别在特定编码体系中的代码                                                                                                                                                                                                
     4  HEALTH_CARD_NO                          患者持有的全国统一的居民健康卡的编号                                                                                                                                                                                                         
     5  PATIENT_INSURANCE_GIVEN_CODE            患者本人参加的医疗保险类别在特定编码体系中的代码                                                                                                                                                                                       
     6  PATIENT_NAME                            患者本人在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                                    
     7  BIRTHDAY                                患者出生当日的公元纪年日期的完整描述                                                                                                                                                                                                         
     8  PATIENT_SEX                             患者生理性别在特定编码体系中的代码                                                                                                                                                                                                            
     9  MARITAL_STATUS_CODE                     患者当前婚姻状况在特定编码体系中的代码                                                                                                                                                                                                      
    10  NATION                                  患者所属民族在特定编码体系中的代码                                                                                                                                                                                                            
    11  OCCUPATIENTION_CLASS_CODE               患者当前从事的职业类别在特定编码体系中的代码                                                                                                                                                                                             
    12  WORKUNIT_NAME                           患者所在的工作单位名称                                                                                                                                                                                                                              
    13  WORKUNIT_PHONE                          患者当前所在的工作单位的电话号码，包括国际、国内区号和分机号                                                                                                                                                                     
    14  ADDRESS_TYPE_FLAG                       患者本人或联系人地址类别在特定编码体系中的代码                                                                                                                                                                                          
    15  ADDRESS_PROVINCE                        患者本人或联系人地址中的省、自治区或直辖市名称                                                                                                                                                                                          
    16  ADDRESS_CITY                            患者本人或联系人地址中的市、地区或州的名称                                                                                                                                                                                                
    17  ADDRESS_COUNTY                          患者本人或联系人地址中的县（区）的名称                                                                                                                                                                                                      
    18  ADDRESS_TOWNSHIP                        患者本人或联系人地址中的乡、镇或城市的街道办事处名称                                                                                                                                                                                 
    19  ADDRESS_VILLAGE                         患者本人或联系人地址中的村或城市的街、路、里、弄等名称                                                                                                                                                                              
    20  ADDRESS_DOORS                           患者本人或联系人地址中的门牌号码                                                                                                                                                                                                               
    21  WORKUNIT_ZIP_CODE                       由阿拉伯数字组成，用来表示与地址对应的邮局及其投递区域的邮政通信代号                                                                                                                                                         
    22  WORKUNIT_PHONE                          患者本人的电话号码，包括国际、国内区号和分机号                                                                                                                                                                                          
    23  PATIENT_NAME                            联系人在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                                       
    24  WORKUNIT_PHONE                          联系人的电话号码，包括国际、国内区号和分机号                                                                                                                                                                                             
    25  POSTPARTUM_OBSERVATION_TIME             患者电子病历初次建档完成时的公元纪年日期和时间的完整描述                                                                                                                                                                           
    26  ORG_ID                                  建档医疗机构经《医疗机构执业许可证》登记的，并按照特定编码体系填写的代码                                                                                                                                                   
    27  PATIENT_NAME                            首次为患者建立电子病历的人员在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                      
    28  HEALTH_CARD_NO                          患者持有的全国统一的居民健康卡的编号                                                                                                                                                                                                         
    29  ABO_BLOOD                               进行血型检査明确，或既往病历资料能够明确的患者ABO血型类别在特定编码体系中的代码                                                                                                                                          
    30  RH_BLOOD                                进行血型检查明确，或既往病历资料能够明确的患者Rh血型的类别代码                                                                                                                                                                   
    31  DISEASE_ HISTORY                        患者既往健康状况和疾病（含外伤）的详细描述                                                                                                                                                                                                
    32  COMMUNICABLE_DISEASES_HISTORY           患者既往所患各种急性或慢性传染性疾病名称的详细描述                                                                                                                                                                                    
    33  PREVENTIVE_INOCULATION_HISTORY          患者预防接种情况的详细描述                                                                                                                                                                                                                        
    34  OPERATION_ HISTORY                      患者既往接受手术/操作经历的详细描述                                                                                                                                                                                                           
    35  BLOOD_TRANSFUSION_HISTORY               患者既往输血史的详细描述                                                                                                                                                                                                                           
    36  ALLERGY_HISTORY                         患者既往发生过敏情况的详细描述                                                                                                                                                                                                                  
    37  PERSON_HISTORY                          患者个人生活习惯及有无烟、酒、药物等嗜好，职业与工作条件及有无工业毒物、粉尘、放射性物质接触史，有无冶游史的描述                                                                                       
    38  PAST_PREGNANCY_HISTORY                  患者婚育史的详细描述                                                                                                                                                                                                                                 
    39  MENSTRUATION_HISTORY                    患者月经史的详细描述                                                                                                                                                                                                                                 
    40  FAMILY_HISTORY                          患者3代以内有血缘关系的家族成员中所患遗传疾病史的描述                                                                                                                                                                                
    41  HEALTH_CARD_NO                          患者持有的全国统一的居民健康卡的编号                                                                                                                                                                                                         
    42  ORG_ID                                  经《医疗机构执业许可证》登记的，并按照特定编码体系填写的代码                                                                                                                                                                     
    43  DEPT_NAME                               患者就诊的医疗机构科室名称                                                                                                                                                                                                                        
    44  PATIENT_TYPE_CODE                       患者就诊类型的分类代码                                                                                                                                                                                                                              
    45  OUTP_NO                                 按照某一特定编码规则赋予门（急）诊就诊对象的顺序号                                                                                                                                                                                    
    46  INP_NO                                  按照某一特定编码规则赋予住院就诊对象的顺序号                                                                                                                                                                                             
    47  VISIT_DATETIME                          患者在门（急）诊就诊结束时的公元纪年日期和时间的完整描述                                                                                                                                                                           
    48  INP_DATETIME                            患者实际办理入院手续时的公元纪年日期和时间的完整描述                                                                                                                                                                                 
    49  DISHOSPITAL_DATETIME                    患者实际办理出院手续时的公元纪年日期和时间的完整描述                                                                                                                                                                                 
    50  MORBIDITY_DATETIME                      疾病发病症状的首次出现的公元纪年日期和时间的完整描述                                                                                                                                                                                 
    51  VISIT_REASONS                           就诊原因的详细描述，如门（急）诊就诊原因、住院原因、转科原因等                                                                                                                                                                  
    52  DIAG_CODE                               患者所患疾病在西医诊断特定编码体系中的编码                                                                                                                                                                                                
    53  CURRENTLY_TCM_DIAGCODE                  患者所患疾病在中医病名特定分类体系中的代码                                                                                                                                                                                                
    54  CURRENTLY_TCM_DIAGCODE                  患者所患疾病在中医证候特定分类体系中的代码                                                                                                                                                                                                
    55  DIAG_CODE                               除主要诊断外的其他诊断在西医诊断特定编码体系中的编码                                                                                                                                                                                 
    56  OPERTOR_CODE                            患者住院期间实施的手术及操作在特定编码体系中的编码                                                                                                                                                                                    
    57  AFTER_DELIVERY_DRUG                     与本次就诊相关的关键药物通用名称                                                                                                                                                                                                               
    58  DRUG_USAGE                              与本次就诊相关的关键药物（含中药）治疗疾病具体用法的描述                                                                                                                                                                           
    59  ADVERSE_DRUG_REACTIONS                  对可能影响患者诊治的、严重的药物不良反应描述，包括：药物不良反应的表现、相关处理及结局                                                                                                                              
    60  TCD_USAGE_TYPE                          临床治疗中中药使用情况分类在特定编码体系中的代码                                                                                                                                                                                       
    61  OPERATOR_DESC                           临床医师对患者实施的除检查/检验、用药、手术/操作以外的医学处置的描述                                                                                                                                                          
    62  UNDERLYING_CAUSE_DEATH                  导致患者死亡的最根本疾病的诊断代码                                                                                                                                                                                                            
    63  DISEASE_OUTCOME                         出院时患者所患的每种疾病的治疗结果类别在特定编码体系中的代码                                                                                                                                                                     
    64  PATIENT_NAME                            负责患者诊疗的主治医师以上的医师在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                
    65  HEALTH_CARD_NO                          患者持有的全国统一的居民健康卡的编号                                                                                                                                                                                                         
    66  OUTP_NO                                 按照某一特定编码规则赋予门（急）诊就诊对象的顺序号                                                                                                                                                                                    
    67  INP_NO                                  按照某一特定编码规则赋予住院就诊对象的顺序号                                                                                                                                                                                             
    68  PAY_WAY                                 患者单次住院诊疗所发生费用的支付方式在特定编码体系中的代码                                                                                                                                                                        
    69  RECIPE_COSTS_AMOUNT                     患者门诊就诊所发生的费用金额，计量单位为人民币元                                                                                                                                                                                       
    70  TCD_CHM_COST                            住院者在住院期间所有项目的费用，计量单位为人民币元                                                                                                                                                                                    
    71  INP_TOTALCOST_OWNPAY                    因治疗疾病个人承担的费用金额，计量单位为人民币元                                                                                                                                                                                       
    72  ORG_ID                                  经《医疗机构执业许可证》登记的，并按照特定编码体系填写的代码                                                                                                                                                                     
    73  OUTP_NO                                 按照某一特定编码规则赋予门（急）诊就诊对象的顺序号                                                                                                                                                                                    
    74  DEPT_NAME                               患者在医疗机构就诊的科室名称                                                                                                                                                                                                                     
    75  PATIENT_NAME                            患者本人在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                                    
    76  PATIENT_SEX                             患者生理性别在特定编码体系中的代码                                                                                                                                                                                                            
    77  BIRTHDAY                                患者出生当日的公元纪年日期的完整描述                                                                                                                                                                                                         
    78  AGE_YEAR                                患者年龄满1周岁的实足年龄，为患者出生后按照日历计箅的历法年龄，以实足年龄的相应整数填写                                                                                                                             
    79  AGE_MONTH                               年龄不足1周岁的实足年龄的月龄，以分数形式表示:分数的整数部分代表实足月龄，分数部分分母为30,分子为不足1个月的天数                                                                                          
    80  ALLERGY_HISTORY_TYPE                    标识患者有无过敏经历的标志                                                                                                                                                                                                                        
    81  ALLERGY_HISTORY                         患者既往发生过敏情况的详细描述                                                                                                                                                                                                                  
    82  VISIT_DATETIME                          患者在门（急）诊就诊结束时的公元纪年日期和时间的完整描述                                                                                                                                                                           
    83  FIRST_VISIT_FLAG                        患者是否因该疾病首次就诊的分类代码                                                                                                                                                                                                            
    84  CHIEF_COMPLAINT                         对患者本次疾病相关的主要症状及其持续时间的描述，一般由患者本人或监护人描述                                                                                                                                                
    85  PRESENT_DISEASE_HISTORY                 对患者当前所患疾病情况的详细描述                                                                                                                                                                                                               
    86  PAST_HISTORY                            既往健康状况及重要相关病史的描述                                                                                                                                                                                                               
    87  PHYSICAL_EXAM                           由门急诊接诊医师对患者进行的体格检査项目及主要检査结果的描述，包括主要的阳性体征和必要的阴性体征                                                                                                               
    88  NURSING_OBSERVATION_RESULT              中医“四诊”观察结果的详细描述，包括望、闻、问、切四诊内容                                                                                                                                                                        
    89  AUXILIARYEXAMI_ITEM                     患者辅助检査、检验项目的通用名称                                                                                                                                                                                                               
    90  AUXILIARYEXAMI_RESULT                   患者辅助检査、检验结果的详细描述                                                                                                                                                                                                               
    91  DIAG_CODE                               患者在门（急）诊就诊时初步作出的疾病诊断在西医诊断特定编码体系中的编码                                                                                                                                                      
    92  DIAG_NAME                               由医师根据患者就诊时的情况，综合分析所作出的西医诊断名称                                                                                                                                                                           
    93  CURRENTLY_TCM_DIAGCODE                  患者在门（急）诊就诊时初步作出的疾病诊断在中医病名特定分类体系中的代码                                                                                                                                                      
    94  DISHOSPITAL_TCM_DIAGNAME                由医师根据患者就诊时的情况，综合分析所作出的中医诊醅病名                                                                                                                                                                           
    95  CURRENTLY_TCM_DIAGCODE                  患者在门（急）诊就诊时初步作出的疾病诊断在中医证候特定分类体系中的代码                                                                                                                                                      
    96  DISHOSPITAL_TCM_DIAGNAME                由医师根据患者就诊时的情况，综合分析所作出的中医证候名称                                                                                                                                                                           
    97  DIALECTICAL_ACCROD                      中医证候辨证分型主要依据的详细描述                                                                                                                                                                                                            
    98  THERAPEUTIC_PRINCIPLE                   根据辨证结果采用的治则治法名称术语                                                                                                                                                                                                            
    99  ADVICE_ITEM_TYPE                        医嘱项目分类在特定编码体系中的代码                                                                                                                                                                                                            
   100  ADVICE_ITEM_CONTENT                     对医嘱项目具体内容的描述                                                                                                                                                                                                                           
   101  ADVICE_REMAKR                           对下达医嘱的补充说明和注意事项提示                                                                                                                                                                                                            
   102  DEPT_NAME                               开立医嘱的科室名称                                                                                                                                                                                                                                    
   103  PATIENT_NAME                            开立医嘱的人员签署的在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                  
   104  ADVICE_OPEN_DATETIME                    医嘱开立结束时的公元纪年日期和时间的完整描述                                                                                                                                                                                             
   105  PATIENT_NAME                            对医嘱进行审核的人员签署的在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                         
   106  CHECK_ADVICE_DATETIME                   对医嘱进行审核时的公元纪年日期和时间的详细描述                                                                                                                                                                                          
   107  DEPT_NAME                               执行医嘱的科室名称                                                                                                                                                                                                                                    
   108  PATIENT_NAME                            执行医嘱的人员签署的在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                  
   109  ADVICE_EXEC_DATETIME                    医嘱执行结束时的公元纪年日期和时间的完整描述                                                                                                                                                                                             
   110  ADVICE_EXEC_STATUS                      显示医嘱执行状态的信息描述                                                                                                                                                                                                                        
   111  PATIENT_NAME                            取消医嘱的人员签署的在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                  
   112  CANCEL_ADVICE_DATETIME                  取消医嘱时的公元纪年日期和时间的完整描述                                                                                                                                                                                                   
   113  ELECTRONIC_APPLY_NO                     按照某一特定编码规则赋予电子申请单的顺序号                                                                                                                                                                                                
   114  PATIENT_NAME                            医师签署的在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                                 
   115  ORG_ID                                  经《医疗机构执业许可证》登记的，并按照特定编码体系填写的代码                                                                                                                                                                     
   116  OUTP_NO                                 按照某一特定编码规则赋予门（急）诊就诊对象的顺序号                                                                                                                                                                                    
   117  DEPT_NAME                               患者在医疗机构就诊的科室名称                                                                                                                                                                                                                     
   118  PATIENT_NAME                            患者本人在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                                    
   119  PATIENT_SEX                             患者生理件别在特定编码体系中的代码                                                                                                                                                                                                            
   120  BIRTHDAY                                患者出生当日的公元纪年日期的完整描述                                                                                                                                                                                                         
   121  AGE_YEAR                                患者年龄满1周岁的实足年龄，为患者出生后按照日历计算的历法年龄，以实足年龄的相应整数填写                                                                                                                             
   122  AGE_MONTH                               年龄不足1周岁的实足年龄的月龄，以分数形式表示:分数的整数部分代表实足月龄，分数部分分母为30,分子为不足1个月的天数                                                                                          
   123  ALLERGY_HISTORY_TYPE                    标识患者有无过敏经历的标志                                                                                                                                                                                                                        
   124  ALLERGY_HISTORY                         患者既往发生过敏情况的详细描述                                                                                                                                                                                                                  
   125  VISIT_DATETIME                          患者在门（急）诊就诊结束时的公元纪年日期和时间的完整描述                                                                                                                                                                           
   126  FIRST_VISIT_FLAG                        患者是否因该疾病首次就诊的分类代码                                                                                                                                                                                                            
   127  IN_OBSERVATION_DATETIME                 急诊患者被收入观察室或监护室的公元纪年日期和时间的完整描述                                                                                                                                                                        
   128  CHIEF_COMPLAINT                         对患者本次疾病相关的主要症状及其持续时间的描述，一般由患者本人或监护人描述                                                                                                                                                
   129  PRESENT_DISEASE_HISTORY                 对患者当前所患疾病情况的详细描述                                                                                                                                                                                                               
   130  PAST_HISTORY                            既往健康状况及重要相关病史的描述                                                                                                                                                                                                               
   131  PHYSICAL_EXAM                           由门急诊接诊医师对患者进行的体格检査项目及主要检査结果的描述，包括主要的阳性体征和必要的阴性体征                                                                                                               
   132  NURSING_OBSERVATION_RESULT              中医“四诊”观察结果的详细描述，包括望、闻、问、切四诊内容                                                                                                                                                                        
   133  AUXILIARYEXAMI_ITEM                     患者辅助检查、检验项目的通用名称                                                                                                                                                                                                               
   134  AUXILIARYEXAMI_RESULT                   患者辅助检查、检验结果的详细描述                                                                                                                                                                                                               
   135  DIAG_CODE                               患者在门（急）诊就诊时初步作出的疾病诊断在西医诊断特定编码体系中的编码                                                                                                                                                      
   136  DIAG_NAME                               由医师根据患者就诊时的情况，综合分析所作出的西医诊断名称                                                                                                                                                                           
   137  CURRENTLY_TCM_DIAGCODE                  患者在门（急）诊就诊时初步作出的疾病诊断在中医病名特定分类体系中的代码                                                                                                                                                      
   138  DISHOSPITAL_TCM_DIAGNAME                由医师根据患者就诊时的情况，综合分析所作出的中医诊断病名                                                                                                                                                                           
   139  CURRENTLY_TCM_DIAGCODE                  患者在门（急）诊就诊时初步作出的疾病诊断在中医证候特定分类体系中的代码                                                                                                                                                      
   140  DISHOSPITAL_TCM_DIAGNAME                由医师根据患者就诊时的情况，综合分析所作出的中医证候名称                                                                                                                                                                           
   141  DIALECTICAL_ACCROD                      中医证候辨证分型主要依据的详细描述                                                                                                                                                                                                            
   142  THERAPEUTIC_PRINCIPLE                   根据辨证结果采用的治则治法名称术语                                                                                                                                                                                                            
   143  ADVICE_ITEM_TYPE                        医嘱项目分类在特定编码体系中的代码                                                                                                                                                                                                            
   144  ADVICE_ITEM_CONTENT                     对医嘱项目具体内容的描述                                                                                                                                                                                                                           
   145  ADVICE_REMAKR                           对下达医嘱的补充说明和注意事项提示                                                                                                                                                                                                            
   146  DEPT_NAME                               开立医嘱的科室名称                                                                                                                                                                                                                                    
   147  PATIENT_NAME                            开立医嘱的人员签署的在公安户籍管理部门正式登记注册的姓氏和名称                                                                                                                                                                  
